freq,nrg_bal,siec,unit,geo,time,value,dataset
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2017,113611.214,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2018,114296.937,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2019,113119.475,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2020,103057.147,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2021,113918.826,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2022,109406.478,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2023,106153.181,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2024,107677.785,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2013,1372.455,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2014,1377.348,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2015,1423.923,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2016,1490.606,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2017,1551.546,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2018,1581.273,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2019,1626.652,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2020,1525.932,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2021,1584.965,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2022,1609.596,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2023,1619.051,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2024,1658.099,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2013,3732.245,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2014,3776.066,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2015,3680.167,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2016,3697.443,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2017,3874.906,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2018,4024.431,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2019,3924.309,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2020,3797.762,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2021,3980.096,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2022,3822.636,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2023,3765.623,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2024,3737.501,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2013,4712.305,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2014,4800.537,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2015,4779.51,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2016,5003.215,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2017,5239.082,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2018,5466.581,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2019,5460.021,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2020,5284.212,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2021,5662.351,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2022,5376.688,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2023,5324.074,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Lithuania,2024,5628.651,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2013,3753.122,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2014,3596.761,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2015,3534.819,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2016,3533.953,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2017,3608.658,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2018,3738.069,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2019,3792.055,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2020,3269.667,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2021,3439.394,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2022,3026.663,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2023,2922.882,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Luxembourg,2024,2908.057,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2013,16255.431,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2014,15775.708,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2015,16829.628,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2016,17274.354,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2017,17874.513,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2018,17849.381,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2019,17968.801,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2020,17606.514,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2021,18793.605,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2022,17944.792,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2023,16541.255,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Hungary,2024,16607.21,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Malta,2013,421.114,energy_consumption
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Malta,2014,435.716,energy_consumption
