freq,nrg_bal,siec,unit,geo,time,value
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2017-01-01,6793.042
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2018-01-01,6682.876
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2019-01-01,6726.814
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2020-01-01,6432.449
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2021-01-01,6887.646
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2022-01-01,6719.174
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2023-01-01,6924.509
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Croatia,2024-01-01,7171.381
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2013-01-01,114053.675
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2014-01-01,108848.35
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2015-01-01,112108.171
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2016-01-01,111554.603
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2017-01-01,113611.214
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2018-01-01,114296.937
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2019-01-01,113119.475
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2020-01-01,103057.147
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2021-01-01,113918.826
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2022-01-01,109406.478
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2023-01-01,106153.181
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Italy,2024-01-01,107677.785
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2013-01-01,1372.455
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2014-01-01,1377.348
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2015-01-01,1423.923
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2016-01-01,1490.606
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2017-01-01,1551.546
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2018-01-01,1581.273
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2019-01-01,1626.652
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2020-01-01,1525.932
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2021-01-01,1584.965
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2022-01-01,1609.596
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2023-01-01,1619.051
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Cyprus,2024-01-01,1658.099
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2013-01-01,3732.245
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2014-01-01,3776.066
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2015-01-01,3680.167
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2016-01-01,3697.443
Annual,Final consumption - energy use,Total,Thousand tonnes of oil equivalent,Latvia,2017-01-01,3874.906
